0_0_0_0_-1;1.633597E-37;8.667344E-23;2.319638E-30
0_-4_3_-5_-1;7.505777E-20;2.182163;1.656274E-18
-1_-4_3_0_-1;0.08570029;10.13421;0.8047662
-1_-4_3_4_-1;7.377836E-05;2.062733;1.143591E-18
-1_-4_3_-5_-1;0.06367178;9.634581;0.3073824
-2_-4_3_4_-1;6.887788E-28;5.190896E-19;1.16831
-2_-4_3_0_-1;0.009768703;1.691561;4.599159
-2_-4_3_-5_-1;0.1203048;1.141672;4.642378
-3_-4_3_0_-1;-5.858973E-05;-1.047839E-05;-9.079872E-06
-3_-4_3_4_-1;-7.808158E-06;-1.193466E-05;-4.20174E-06
-3_-4_3_-5_-1;-2.645912E-06;-4.11474E-06;-3.862909E-06
-4_-4_3_4_-1;-0.01509001;-0.02402683;-0.0008744856
-4_-4_3_0_-1;-0.02017638;-0.03811111;-0.03871134
-4_-4_3_-5_-1;-0.02268533;-0.02893102;-0.02478619
-5_-4_3_0_-1;-0.02449743;-0.03651497;-0.0336152
-5_-4_3_-5_-1;-0.02140272;-0.03606484;-0.02371011
-5_-4_3_4_-1;-0.02193517;-0.0339818;-0.01707975
-5_3_3_-5_1;-0.4402687;-1.067796;-1.125113
-4_3_3_-5_1;-0.957948;-0.947596;-1.735071
-4_3_3_4_1;-0.8985002;-1.594326;-1.397444
-4_3_3_0_1;-0.0475342;-1.031592;-1.258693
-3_3_3_-5_1;-0.9790142;-1.029719;-1.519655
-3_3_3_0_1;-0.04957604;-1.323725;-1.224699
-3_3_3_4_1;-0.05303718;-1.592746;-1.358561
-2_3_3_0_1;0.1698503;-0.7599362;-0.591409
-2_3_3_-5_1;0.2356343;-0.007722302;-0.3981118
-2_3_3_4_1;-0.6060396;0.3364929;-0.6179822
-2_3_-4_0_1;-5.370448E-39;2.256848E-11;0.708766
-1_3_-4_0_1;0.9884878;0.02869033;6.60888
-1_3_-4_-5_1;3.776129E-05;6.89742;2.146655E-05
0_3_-4_-5_1;7.738401E-05;6.761857;1.063088
0_3_-4_4_1;5.388342E-38;4.777271E-18;1.810083
0_3_-4_0_1;0.1095221;0.0004044909;6.522944
1_3_-4_-5_1;-4.566601E-35;1.287727;3.578504E-30
1_3_-4_0_1;-0.01037384;1.969;0.3117298
1_3_-4_4_1;-0.0004317585;1.741717;0.3784336
2_3_-4_0_1;-0.0496091;-0.08153742;-0.05904533
2_3_-4_4_1;-0.04975342;-0.06375892;-0.08359832
2_3_-4_-5_1;-0.047139;-0.05745844;-0.04045402
