0_-1_4_0_-1;8.704074E-10;1.383643E-11;9.045721
0_-1_4_-5_-1;1.554249E-08;8.884687E-10;9.648433
0_-1_4_5_-1;8.792325;1.384197E-11;6.942523
-1_-1_4_5_-1;1.876431E-09;1.904373E-09;6.679353
-1_-1_4_-5_-1;1.929814E-09;1.884866E-09;7.167735
-1_-1_4_0_-1;7.246299E-08;1.83078E-09;1.844459E-09
-2_-1_4_5_-1;3.623853E-10;3.747402E-10;3.706775E-10
-2_-1_4_0_-1;3.894008E-10;1.393363E-11;1.393363E-11
-2_-1_4_-5_-1;3.275859E-10;3.825192E-10;1.39406E-11
-2_4_4_5_1;1.395176E-11;6.202453E-11;1.395176E-11
-2_3_3_0_1;-0.3678473;-1.887669;-0.9586667
-2_3_3_5_1;-0.6429794;-1.796244;-0.321585
-2_3_3_-5_1;-1.466431;-0.726994;-0.1780718
-1_3_3_-5_1;6.491975;8.823847E-10;1.395874E-11
-1_3_3_5_1;1.281041E-09;9.445642;1.049907E-09
-1_3_3_0_1;1.156643E-09;10.08785;9.968035E-10
0_3_3_0_1;7.349707;1.398808E-11;3.772283
0_3_3_-5_1;2.181818E-08;7.174088;6.631206E-10
0_3_3_5_1;1.399788E-11;2.525944;7.020243
1_3_3_0_1;4.400479;-4.211322E-08;-2.789315E-08
1_3_3_-5_1;4.888826;-2.564352E-08;-2.310142E-08
1_3_3_5_1;4.909061;-2.292305E-08;3.048601
2_3_3_-5_1;-1.284312E-07;-1.229622E-07;-6.737572E-08
2_3_3_0_1;-1.202883E-07;-1.109313E-07;-9.273801E-08
2_3_3_5_1;-1.285939E-07;-9.108494E-08;-1.078454E-07
3_3_3_0_1;-6.655801E-08;-6.428476E-08;-9.7178E-08
3_3_3_5_1;-6.491283E-08;-4.448016E-08;-6.399791E-08
3_3_3_-5_1;-5.911986E-08;-1.026623E-07;-9.269269E-08
-2_-3_-5_-5_-1;-2.563932E-10;-1.26916E-08;3.310582E-09
-2_-3_-5_0_-1;0.5094801;-2.935197E-10;-1.090974E-08
-2_-3_-5_5_-1;-2.12874E-08;0.2937672;-6.846407E-09
-3_-3_-5_5_-1;-3.910914;-5.054495;-3.792738
-3_-3_-5_0_-1;-4.650135;-5.276852;-4.487675
-3_-3_-5_-5_-1;-4.568482;-5.375555;-3.084862
-4_-3_-5_5_-1;-5.570951;-4.880877;-4.975612
-4_-3_-5_0_-1;-5.023942;-5.659265;-6.037896
-4_-3_-5_-5_-1;-5.472944;-5.767518;-5.871301
-5_-3_-5_5_-1;-5.6862;-5.285129;-5.030087
-5_-3_-5_0_-1;-6.234858;-3.9923;-5.788674
-5_-3_-5_-5_-1;-5.415342;-4.756546;-5.772209
-6_-3_-5_5_-1;-4.947356;-3.899758;-4.467692
-6_-3_-5_-5_-1;-4.886849;-5.049906;-3.513424
-6_-3_-5_0_-1;-5.080637;-4.25313;-4.176466
-7_-3_-5_5_-1;-2.623945;-0.8443586;-2.826331
-6_2_-5_0_1;-3.262725;-2.491038;-3.954442
-6_2_-5_-5_1;-3.385159;-2.600839;-3.599709
-6_2_-5_5_1;-3.130198;-3.081889;-3.692548
-5_2_-5_-5_1;-1.247584;-1.310689;-1.445918
-5_2_-5_0_1;-0.7587505;-1.231518;-2.034709
-5_2_-5_5_1;-1.166766;-0.6241006;-1.489598
-4_2_-5_-5_1;-0.1404776;-0.1440298;-0.1441373
-4_2_-5_5_1;-0.1508242;-0.1487922;-0.1452229
-4_2_-5_0_1;-0.129488;-0.1466072;-0.1500089
-3_2_-5_-5_1;-0.6620273;-1.45428;-1.364988
-3_2_-5_5_1;-0.6544763;-2.465476;-1.188605
-3_2_-5_0_1;-2.008267;-2.125777;-0.6679518
-2_2_-5_-5_1;0.0238326;-1.298861;1.34248
-2_2_-5_0_1;-1.668557;-1.517445;0.309696
-2_2_-5_5_1;-0.2523395;-1.475887;-0.3687546
-2_-2_4_5_-1;2.023017;-0.3549881;3.10285
-2_-2_4_-5_-1;-0.2994774;3.115734;-0.8737013
